date,LT1,PT1
2022-09-05 12:00:00,39.57,4489.77
2022-09-05 11:00:00,41.47,4379.84
2022-09-05 10:00:00,43.49,4240.61
2022-09-05 09:00:00,45.78,4252.33
2022-09-05 08:00:00,47.34,3943.92
2022-09-05 07:00:00,48.94,3819.90
2022-09-05 06:00:00,51.19,3786.08
2022-09-05 05:00:00,53.07,3923.98
2022-09-05 04:00:00,55.14,3691.41
2022-09-05 03:00:00,58.54,3780.81
2022-09-05 02:00:00,62.17,3776.38
2022-09-05 01:00:00,63.00,3847.73
2022-09-05 00:00:00,64.13,3794.58
2022-09-04 23:00:00,67.29,3620.77
2022-09-04 22:00:00,69.01,3793.67
2022-09-04 21:00:00,70.58,3829.58
2022-09-04 20:00:00,70.51,3823.96
2022-09-04 19:00:00,70.43,3819.06
2022-09-04 18:00:00,70.36,3813.01
2022-09-04 17:00:00,70.36,3805.39
2022-09-04 16:00:00,70.32,3803.70
2022-09-04 15:00:00,70.28,3797.07
2022-09-04 14:00:00,70.25,3788.38
2022-09-04 13:00:00,70.27,3780.40
2022-09-04 12:00:00,70.29,3771.16
2022-09-04 11:00:00,70.36,3762.91
2022-09-04 10:00:00,70.31,3764.95
2022-09-04 09:00:00,70.53,3862.89
2022-09-04 08:00:00,70.84,3869.97
2022-09-04 07:00:00,71.31,3882.65
2022-09-04 06:00:00,71.38,3881.19
2022-09-04 05:00:00,71.36,3876.64
2022-09-04 04:00:00,71.36,3871.53
2022-09-04 03:00:00,71.36,3867.34
2022-09-04 02:00:00,71.34,3862.56
2022-09-04 01:00:00,71.32,3857.61
2022-09-04 00:00:00,71.31,3855.04
2022-09-03 23:00:00,71.32,3857.71
2022-09-03 22:00:00,71.30,3852.67
2022-09-03 21:00:00,71.26,3846.74
2022-09-03 20:00:00,71.60,3767.60
2022-09-03 19:00:00,72.68,3697.99
2022-09-03 18:00:00,72.67,3714.98
2022-09-03 17:00:00,72.67,3707.88
2022-09-03 16:00:00,73.70,3935.68
2022-09-03 15:00:00,73.74,3986.24
2022-09-03 14:00:00,48.32,3829.60
2022-09-03 13:00:00,28.17,4755.73
2022-09-03 12:00:00,28.45,4722.30
2022-09-03 11:00:00,29.60,4665.59
2022-09-03 10:00:00,31.26,4600.34
2022-09-03 09:00:00,33.25,4503.38
2022-09-03 08:00:00,35.14,4442.31
2022-09-03 07:00:00,37.84,4308.07
2022-09-03 06:00:00,39.13,4240.91
2022-09-03 05:00:00,41.43,4147.37
2022-09-03 04:00:00,43.12,4083.06
2022-09-03 03:00:00,44.40,4045.10
2022-09-03 02:00:00,44.85,4014.02
2022-09-03 01:00:00,46.42,3853.02
2022-09-03 00:00:00,47.41,3793.92
2022-09-02 23:00:00,48.33,3720.78
2022-09-02 22:00:00,50.29,3686.58
2022-09-02 21:00:00,52.30,3918.45
2022-09-02 20:00:00,53.37,3867.77
2022-09-02 19:00:00,55.66,3660.73
2022-09-02 18:00:00,57.83,3729.21
2022-09-02 17:00:00,60.27,3639.66
2022-09-02 16:00:00,63.35,4073.07
2022-09-02 15:00:00,67.06,4153.78
2022-09-02 14:00:00,70.83,3670.28
2022-09-02 13:00:00,74.81,3750.84
2022-09-02 12:00:00,75.59,3843.06
2022-09-02 11:00:00,51.41,3774.36
2022-09-02 10:00:00,44.63,3756.56
2022-09-02 09:00:00,46.93,3652.88
